"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS0039","Calumet City","Cook County","IL","Calumet City Police Department","Police","The Calumet City Police Department began using Shotspotter gunshot detection technology in 2018. ","Municipal","Gunshot Detection","ShotSpotter","https://calumetcity.org/uncategorized/calumet-city-police-join-select-company-with-crime-fighting-device/","","Calumet City Police","","04/03/2018","https://www.chicagotribune.com/suburbs/daily-southtown/ct-sta-calumet-city-shotspotter-st-0404-20180403-story.html","","Chicago Tribune","","04/03/2018","","","","","",""
"AOS0041","Pittsburg","Allegheny County","PA","Baldwin Police Department","Police","The Baldin Police Department has used automated license plate readers since 2011. It purchased another ALPR system in 2018 with asset forfeiture funds","Municipal","Automated License Plate Readers","","https://www.post-gazette.com/local/region/2015/04/05/license-plate-recognition-homeland-security-privacy-data/stories/201504030307","","Pittsburgh Post Gazette","","04/04/2015","https://www.baldwinborough.org/ArchiveCenter/ViewFile/Item/65","","Baldwin Borough 2018 Budget","","2018","","","","","",""
"AOS0042","Quartzsite","La Paz County","AZ","Quartzsite Police Department","Police","In September 2017,  the Quartzsite Police Department purchased a police car equipped with an automated license plate reader with funds from the Arizona Automobile Theft Authority. ","Municipal","Automated License Plate Readers","","https://www.parkerpioneer.net/news/article_3bb4e6be-a2e8-11e7-9392-4ffb8b6a7bb3.html","","Parker Pioneer","","09/26/2017","","","","","","","","","","",""
"AOS0043","Avon","Lorain County","OH","Avon Police Department","Police","The Avon Police Department spent $20,000 to equip all 35 of its officers with body-worn cameras in 2016. ","Municipal","Body-worn Cameras","","https://www.cleveland.com/avon/2016/01/avon_police_wear_body_cameras.html","","Cleveland.com, northeast Ohio news source","","01/11/2019","https://www.facebook.com/AvonOH/photos/a.366117700257281/744941325708248/?type=3&theater","","City of Avon, Ohio Facebook photo","","01/19/2018","","","","","",""
"AOS0044","Goldsboro","Wayne County","NC","Wayne County Sheriff's Office","Sheriff","In April 2017, the Wayne County Sheriff's Office filed a request to reallocate $10,000 for the purchase of two new automated license plate readers, one of which was a replacement for a broken camera.","County","Automated License Plate Readers","ELSAG","https://www.waynegov.com/AgendaCenter/ViewFile/Agenda/_04182017-424","","Wayne County Gov.","","04/19/2017","","","","","","","","","","",""
"AOS0045","Neptune City","Monmouth County","NJ","Neptune Township Police Department","Police","The Neptune Township Police Department has both stationary and vehicle-mounted automated license plate readers, and have used them since at least 2016.","Municipal","Automated License Plate Readers","","http://www.neptunetownship.org/sites/default/files/documents/Police/Annual%20Report%202016.pdf","","Neptune Townshipt","","2016","https://www.app.com/story/news/local/communitychange/2017/03/28/neptune-police-see-something-say-something/99711454/","","APP","","03/28/2017","http://www.neptunetownship.org/sites/default/files/documents/2019Clerk/JANUARY%2014%202019%20Minutes.pdf","","Government Site","","01/14/2019",""
"AOS0046","Poughkeepsie","Dutchess County","NY","Poughkeepsie Police Department","Police","In 2012, the Town of Poughkeepsie Police Department spent $14,943 on ELSAG automated license plate readers . ","Municipal","Automated License Plate Readers","ELSAG","https://www.aclu.org/sites/default/files/field_document/alprpra_cityofpoughkeepsie_poughkeepsieny_1.pdf","","American Civil Liberties Union (ACLU)","","12/06/2012","","","","","","","","","","",""
"AOS0047","Poughkeepsie","Dutchess County","NY","Poughkeepsie Police Department","Police","The Town of Poughkeepsie Police Department's Technology Operations division maintains and operates an automated license plate reader system. ","Municipal","Automated License Plate Readers","","http://www.townpolice.net/specialized-units/technology-operations","","Town of Poughkeepsie Police Department","","","","","","","","","","","","",""
"AOS0048","Poughkeepsie","Dutchess County","NY","Poughkeepsie Police Department","Police","As of January 2020, the Town of Poughkeepsie Police Department will spend $510,120 for 65 body cameras and equipment over the next five years.","Municipal","Body-worn Cameras","Axon","https://cityofpoughkeepsie.com/police-department/2020/01/23/city-of-poughkeepsie-police-begin-using-body-worn-cameras/","","City of Poughkeepsie Police Department","","01/23/2020","","","","","","","","","","",""
"AOS0050","Pueblo","Pueblo County","CO","Pueblo Police Department","Police","The Pueblo Police Department began using ELSAG automated license plate readers in 2010. PPD added another ALPR system in 2018. The Pueblo Transportation Department also added Nupark ALPR systems, which is checked against the Pueblo Police Department's hot lists. ","Municipal","Automated License Plate Readers","ELSAG","https://www.pueblo.us/DocumentCenter/View/22628/LPR-Privacy-Policy?bidId=","","City of Pueblo Colorado ","","","https://www.pueblo.us/ArchiveCenter/ViewFile/Item/195","","Pueblo Police Department Annual Report","","2010","https://www.chieftain.com/news/20190617/pueblo-police-get-another-license-plate-reader","","Pueblo Chieftain","","06/17/2019",""
"AOS0051","Newburgh","Orange County","NY","Newburgh Police Department","Police","The Newburg Police Department began using Shotspotter gunshot detection technology in 2017, but the system was cut from the 2020 budget. As of January 2020, Shotspotter was still operational as police sought supplementary funding.","Municipal","Gunshot Detection","ShotSpotter","https://www.dailyfreeman.com/news/police-blotter/newburgh-seeks-funding-for-shot-spotter-program/article_7db3d098-2ff9-11ea-9596-7f78c4fcb36b.html","","Daily Freeman","","1/5/2020","https://www.cityofnewburgh-ny.gov/sites/newburghny/files/news/newburgh_pd_crime_reduction.pdf","","Newburgh Police Department","","5/9/2019","","","","","",""
"AOS0052","Holmdel","Monmouth County","NJ","Holmdel Police Department","Police","In 2012, the Holmdel Police Department spent $18,000 on ELSAG automated license plate readers.","Municipal","Automated License Plate Readers","ELSAG","https://patch.com/new-jersey/holmdel-hazlet/holmdel-police-invest-in-license-plate-reader-technology","","Patch local paper","","07/10/2012","https://www.facebook.com/MonmouthCountyPoliceFireEMS/posts/holmdel-pd-patrol-car-equipped-with-plate-reader-technology-leads-to-stolen-vehi/810400645664115/","","Facebook post","","01/22/2015","https://patch.com/new-jersey/holmdel-hazlet/hazlet-man-arrested-for-operating-alleged-stolen-vehicle","","News Article","","07/25/2012",""
"AOS0053","Aberdeen Township","Monmouth County","NJ","Aberdeen Township Police Department","Police","The Aberdeen Township Police Department began using automated license plate readers in December 2013.","Municipal","Automated License Plate Readers","","http://www.aberdeennj.org/filestorage/204/211/306/Newsletter.PDF","","Aberdeen Update (Official Township Newsletter) ","","2014","","","","","","","","","","",""
"AOS0054","Rockwall","Rockwall County","TX","Rockwall Police Department","Police","In 2017, the Rockwall Police Department received a grant from the governor of Texas to outfit every patrol officer with body-worn cameras. In 2018, RPD switched from Coban to GETAC-brand cameras. The city's 2020 budget included $47,000 for GETAC-brand BWCs.","Municipal","Body-worn Cameras","Getac","http://www.rockwall.com/documents/finance/FY20%20Proposed%20Budget.pdf","","City of Rockwall","","08/19/2019","http://www.rockwall.com/Meetings/CouncilMinutes/2018/03-19-18%20cc%20mtg%20mins.pdf","","City of Rockwall","","03/19/2018","","","","","",""
"AOS0055","Jefferson","Jefferson County","WI","Jefferson County Sheriff's Office","Sheriff","The Jefferson County Sheriff's Office uses body-worn cameras. ","County","Body-worn Cameras","","https://www.facebook.com/678284275517798/photos/a.689632877716271/3070438786302323/?type=3&theater","","Jefferson County Sheriff's Office's Facebook Page","","03/05/2020","https://www.doj.state.wi.us/sites/default/files/oid-reports/18-226/DCI%20Investigative%20File%20Public%20Records%20Release%20-%20DCI%20Case%20Reports.pdf","","Wisconsin Department of Justice ","","01/14/2018","","","","","",""
"AOS0056","Tallahassee","Leon County","FL","Florida State University Police Department","Police","The Florida State University Police Department began using body-worn cameras as early as 2014.","University","Body-worn Cameras","Coban","https://www.fsunews.com/story/news/2014/12/03/fsupd-invests-in-police-body-cameras/19904629/","","FSU News","","12/04/2014","https://www.facebook.com/FSUPoliceDepartment/photos/a.682295928470850/2688361991197557/?type=3&theater","","Facebook","","09/25/2019","","","","","",""
"AOS0057","Easton","Northampton County","PA","Easton Police Department","Police","The Easton Police Department purchased 61 body-worn Cameras in 2019.","Municipal","Body-worn Cameras","","https://www.mcall.com/news/local/easton/mc-nws-easton-body-cam-20191013-vk6sahxtwfdajjkcvbuq5yhbeu-story.html","","Morning Call","","10/13/2019","","","","","","","","","","",""
"AOS0058","Voorhees","Camden County","NJ","Voorhees Police Department","Police","The Voorhees Police Department and the Berlin Police Department agreed to share an automated license plate recognition system in 2013. ","Municipal","Automated License Plate Readers","","http://njlm.generalcode.com/sites/default/files/License%20Plate.pdf","","GeneralCode.com","","2013","","","","","","","","","","",""
"AOS0059","Berlin","Camden County","NJ","Berlin Police Department","Police","The Voorhees Police Department and the Berlin Police Department agreed to share an automated license plate recognition system in 2013. ","Municipal","Automated License Plate Readers","","http://njlm.generalcode.com/sites/default/files/License%20Plate.pdf","","NJLM","","2013","","","","","","","","","","",""
"AOS0060","Easton","Northampton County","PA","Easton Police Department","Police","In 2017, the Mayor of Easton approved a surveillance camera plan to ""flood the West Ward with license plate recognition software"" so the Easton Police Department can ""record every single vehicle."" ","Municipal","Automated License Plate Readers","","https://www.wfmz.com/business/easton-to-install-new-surveillance-system-in-west-ward/article_9d3eae74-2807-5950-a889-a50f255ec0ca.html","","WFMZ","","05/16/2017","https://www.aclu.org/files/FilesPDFs/ALPR/federal/BJA/20230-20239%20City%20of%20Bethlehem.pdf","","ACLU","","07/20/2011","","","","","",""
"AOS0061","Urbana","Champaign County","OH","Urbana Police Division","Police","According to the Urbana Police Division's 2010 annual report,  the agency purchased an automated license plate reader through a U.S. Department of Homeland Security grant. ","Municipal","Automated License Plate Readers","","https://www.urbanaohio.com/uploads/1/2/4/6/124631710/2010_annual_report.pdf","","City of Urbana","","2010","","","","","","","","","","",""
"AOS0062","Georgetown","Georgetown County","SC","Georgetown County Sheriff's Office","Sheriff","The Georgetown County Sheriff's Office started its body-worn camera program in 2015 with 25 cameras. As of 2020, deputies wear Coban BWCs.","County","Body-worn Cameras","Coban","https://www.facebook.com/147036171974447/photos/a.252161554795241/2944260335585336/?type=3&theater","","Facebook","","01/09/2020","https://www.aclusc.org/en/news/police-body-cameras-gain-support-from-politicians","","Myrtle Beach Online","","04/15/2015","","","","","",""
"AOS0063","Stafford","Stafford County","VA","Stafford County Sheriff's Office","Sheriff","According the Free Lance-Star, the Stafford County Sheriff's Office has operated automated license plate Rreaders since March 2011.","County","Automated License Plate Readers","","https://www.fredericksburg.com/news/who-has-your-license-plate-data/article_2fdab69a-4dca-5776-85b7-fb194cf9d5e1.html","","Fredericksburg.com","","07/27/2013","","","","","","","","","","",""
"AOS0064","Paterson","Passaic County","NJ","Paterson Police Department","Police","The Paterson Police Department implemented ShotSpotter gunshot detection technology in 2007. ","Municipal","Gunshot Detection","ShotSpotter","https://www.govtech.com/dc/articles/Paterson-NJ-Improves-Public-Safety-with.html","","Government Technology","","09/25/2007","https://www.shotspotter.com/news/in-njs-high-crime-cities-police-alerted-of-gunshots-in-seconds-read-more-in-njs-high-crime-citi/","","ShotSpotter","","11/28/2016","https://www.rlsmedia.com/article/shotspotter-activation-detects-gunfire-paterson-neighborhood","","RLS Media","","10/1/2019",""
"AOS0069","Buckhannon","Upshur County","WV","Buckhannon Police Department","Police","The Buckhannon Police Department spent $14,000 on nine body-worn cameras in early 2015. ","Municipal","Body-worn Cameras","","https://wvpress.org/copydesk/insight/buckhannon-police-wear-body-cameras/","","The Inter-Mountain","","09/25/2014","","","","","","","","","","",""
"AOS0071","Winter Haven","Polk County","FL","Polk County Sheriff's Office","Sheriff","The Polk County Sheriff's Office operates 11 automated license plate reader systems as of 2018. ","County","Automated License Plate Readers","","https://www.muckrock.com/foi/polk-county-204/automated-license-plate-reader-alpr-adoption-use-and-data-retention-policies-polk-county-sheriff-65976/","","MuckRock","","12/18/18","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","",""
"AOS0072","Bradenton","Manatee County","FL","Manatee County Sheriff's Office","Sheriff","The Manatee County Sheriff's Office has eight automated license plate readers, as of 2018. ","County","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","","",""
"AOS0073","New Port Richey","Pasco County","FL","Pasco County Sheriff's Office","Sheriff","The Pasco County Sheriff's Office has five automated license plate readers as of 2018. ","County","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","","",""
"AOS0074","Largo","Pinellas County","FL","Pinellas County Sheriff's Office","Sheriff","The Pinellas County Sheriff's Office has 30 automated license plate readers as of 2018. ","County","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","","",""
"AOS0076","Clearwater","Pinellas County","FL","Clearwater Police Department","Police","The Clearwater Police Deparmtent has four automated license plate readers as of 2018. ","Municipal","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","","",""
"AOS0077","New Port Richey","Pasco County","FL","New Port Richey Police Department","Police","The New Port Richey Police Department has two automated license plate readers as of 2018. ","Municipal","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","","",""
"AOS0078","Sarasota","Sarasota County","FL","Sarasota Police Department","Police","The Sarasota Police Department has two automated license plate readers as of 2018.","Municipal","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","","",""
"AOS0079","Harrisonville","Cass County","MO","Cass County Sheriff's Office","Sheriff","The Cass County Sheriff's Office spent $20,595 on automatic license plate readers  in 2018. ","County","Automated License Plate Readers","ELSAG","https://www.casscounty.com/AgendaCenter/ViewFile/Agenda/_04252018-211","","Cass County Commision","","04/25/18","https://southcasstribune.com/2018/10/21/sheriff-launches-criminal-apprehension-unit/","","South Cass Tribune","","10/21/2018","","","","","",""
"AOS0080","Asheboro","Randolph County","NC","Randolph County Sheriff's Office","Sheriff","As of January 2019, the Randolph County Sheriff's Office has four automated license plate readers. ","County","Automated License Plate Readers","","https://www.courier-tribune.com/news/20190110/sheriff-gets-new-positions-dogs-and-equipment","","The Courier-Tribune","","01/10/2019","","","","","","","","","","",""
"AOS0081","Seguin","Guadalupe County","TX","Guadalupe County Sheriff's Office","Sheriff","In December 2015, Guadalupe County approved a contract with Vigilant Solutions to provide automated license plate readers to the county sheriff's office and constable offices. ","County","Automated License Plate Readers","Vigilant Solutions","https://www.eff.org/deeplinks/2016/01/no-cost-license-plate-readers-are-turning-texas-police-mobile-debt-collectors-and","","EFF","","1/26/16","https://www.eff.org/document/vigilant-solutions-contract-guadalupe-county","","EFF","","1/27/2015","https://www.eff.org/document/vigilant-solutions-amended-contract-guadalupe-county","","EFF","","8/11/15",""
"AOS0082","Seguin","Guadalupe County","TX","Guadalupe County Constables","Constables","In December 2015, Guadalupe County approved a contract with Vigilant Solutions to provide automated license plate readers to the county sheriff's office and constable offices. ","County","Automated License Plate Readers","Vigilant Solutions","https://www.eff.org/deeplinks/2016/01/no-cost-license-plate-readers-are-turning-texas-police-mobile-debt-collectors-and","","EFF","","1/26/16","https://www.eff.org/document/vigilant-solutions-contract-guadalupe-county","","EFF","","1/27/2015","https://www.eff.org/document/vigilant-solutions-amended-contract-guadalupe-county","","EFF","","8/11/15",""
