"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS1801","Lee's Summit","Jackson County","MO","Lee's Summit Police Department","Police","The Lee's Summit Police Department operates one DJI Phantom drone as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.kshb.com/news/region-missouri/lees-summit/blue-springs-charity-buys-drone-for-lees-summit-police","","www.kshb.com","","","","","","","",""
"AOS1802","Bethlehem","Northhampton County","PA","Lehigh University Police Department","Police","The Lehigh University Police Department operates one DJI Inspire drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","University","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.wfmz.com/news/lehigh-valley/lehigh-university-police-put-eye-in-the-sky-above-campus-in-bethlehem/133775210","","www.wfmz.com","","","","","","","",""
"AOS1803","Lenexa","Johnson County","KS","Lenexa Police Department","Police","The Lenexa Police Department operates one drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.shawneedispatch.com/news/2017/sep/21/police-man-shot-while-trying-sell-item-early-thurs/","","www.shawneedispatch.com","","","","","","","",""
"AOS1804","Lenoir","Lenoir County","NC","Lenoir Police Department","Police","The Lenoir Police Department operates one drone as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.cityoflenoir.com/DocumentCenter/View/652/2018-Annual-Police-Report-PDF","","www.cityoflenoir.com","","","http://www.gofoothills.com/2018/05/23/drone-use-for-lenoir-police/","","www.gofoothills.com","","",""
"AOS1805","Liberty","Liberty County","TX","Liberty County Sheriff's Office","Sheriff","The Liberty County Sheriff's Office operates one DJI Mavic drone as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://montgomerycountypolicereporter.com/liberty-county-goes-to-the-air/","","montgomerycountypolicereporter.com","","","https://www.click2houston.com/news/liberty-county-sheriffs-office-buys-drone-with-confiscated-drug-money","","www.click2houston.com","","",""
"AOS1806","Newark","Licking County","OH","Licking County Sheriff's Office","Sheriff","The Licking County Sheriff's Office operates one DJI Mavic drone as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.newarkadvocate.com/story/news/local/2019/03/18/new-drone-could-increase-safety-licking-county-deputies/3160369002/","","www.newarkadvocate.com","","","","","","","",""
"AOS1807","Athens","Limestone County","AL","Limestone County Sheriff's Office","Sheriff","The Limestone County Sheriff's Office operates one Physical Sciences InstantEye drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","Physical Sciences","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.wsfa.com/story/33108104/limestone-county-deputies-begin-drone-training","","www.wsfa.com","","","","","","","",""
"AOS1808","Merrill","Lincoln County","WI","Lincoln County Sheriff's Office","Sheriff","The Lincoln County Sheriff's Office operates one DJI Inspire drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://wsau.com/news/articles/2016/dec/02/new-lincoln-county-sheriff-office-drone/","","wsau.com","","","","","","","",""
"AOS1809","Newport","Lincoln County","OR","Lincoln County Sheriff's Office","Sheriff","The Lincoln County Sheriff's Office operates one DJI Phantom drone as of 2015, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://registry.faa.gov/aircraftinquiry/NNum_Results.aspx?NNumbertxt=616GL","","registry.faa.gov","","","","","","","",""
"AOS1810","Lincoln","Lancaster County","NE","Lincoln Police Department","Police","The Lincoln Police Department operates one drone as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.faa.gov/uas/commercial_operators/part_107_waivers/waivers_issued/media/107W-2019-04863_Daren_Reynolds_CoW.pdf","","www.faa.gov","","","","","","","",""
"AOS1811","Lindon","Utah County","UT","Lindon City Police Department","Police","The Lindon City Police Department operates two DJI drones as of 2015, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.lindoncity.org/uav-report.htm","","www.lindoncity.org","","","http://registry.faa.gov/aircraftinquiry/NNum_Results.aspx?NNumbertxt=5926P","","registry.faa.gov","","",""
"AOS1812","Albany","Linn County","OR","Linn County Sheriff's Office","Sheriff","The Linn County Sheriff's Office operates one drone as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://democratherald.com/news/lcso-to-get-armored-vehicle-high-tech-drone/article_8a6e0331-b175-5343-80bf-7cb3764223e1.html","","democratherald.com","","","","","","","",""
"AOS1813","Linn","Walworth County","WI","Linn Police Department","Police","The Linn Police Department operates one DJI Inspire drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://fox6now.com/2017/01/25/a-huge-benefit-town-of-linn-police-department-gets-drone-utilizes-thermal-imaging/","","fox6now.com","","","https://fox6now.com/2019/10/18/town-of-linn-police-tap-into-tech-to-locate-person-in-need-of-assistance-helps-us-do-our-job/","","fox6now.com","","",""
"AOS1814","Little Elm","Denton County","TX","Little Elm Police Department","Police","The Little Elm Police Department operates three drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.postsignal.com/single-post/2019/04/18/NEPD-considers-using-drones","","www.postsignal.com","","","https://starlocalmedia.com/littleelmjournal/news/little-elm-police-look-to-add-new-equipment-officers/article_b7ca4c42-fa3d-11e7-89c4-4f60ca256b82.html","","starlocalmedia.com","","",""
"AOS1815","Howell","Livingston County","MI","Livingston County Sheriff's Office","Sheriff","The Livingston County Sheriff's Office operates two DJI drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.clickondetroit.com/news/livingston-county-sheriffs-deputies-use-new-drone-to-find-man-lost-in-woods","","www.clickondetroit.com","","","https://www.livingstondaily.com/story/news/local/2019/02/27/livingston-county-sheriffs-office-used-drone-find-lost-man-tuesday/3006190002/","","www.livingstondaily.com","","",""
"AOS1816","Geneseo","Livingston County","NY","Livingston County Sheriff's Office","Sheriff","The Livingston County Sheriff's Office operates two DJI drones as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.rochesterfirst.com/news/local-news/livingston-county-sheriffs-office-to-begin-using-drones/487918533","","www.rochesterfirst.com","","","","","","","",""
"AOS1817","Lodi","San Joaquin County","CA","Lodi Police Department","Police","The Lodi Police Department operates one DJI Phantom drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.lodinews.com/news/article_d1e7ae18-42cb-11e8-86aa-ab9eba14d08d.html","","www.lodinews.com","","","","","","","",""
"AOS1818","Logan","Hocking County","OH","Logan Police Department","Police","The Logan Police Department operates one drone as of 2013, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://registry.faa.gov/aircraftinquiry/NNum_Results.aspx?NNumbertxt=542XG","","registry.faa.gov","","","","","","","",""
"AOS1819","London","Madison County","OH","London Police Department","Police","The London Police Department operates one drone, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://ci.london.oh.us/files/London_Division_of_Police_Policy_Manual_RELEASE_20190424.pdf","","ci.london.oh.us","","","","","","","",""
"AOS1820","Long Beach","Los Angeles County","CA","Long Beach Police Department","Police","The Long Beach Police Department operates four DJI drones as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.muckrock.com/foi/long-beach-291/california-public-records-request-unmanned-aeriel-vehicles-long-beach-police-department-66591/","","www.muckrock.com","","","","","","","",""
"AOS1821","Longmont","Weld County, Boulder County","CO","Longmont Police Department","Police","The Longmont Police Department operates four drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.denverpost.com/2018/01/24/longmont-police-drone-use/","","www.denverpost.com","","","","","","","",""
"AOS1822","Valencia","Los Angeles County","CA","Los Angeles County Sheriff's Department","Sheriff","The Los Angeles County Sheriff's Department operates one DJI Matrice 100 drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://sheriff.lacounty.gov/wps/portal/lasd/media/detail/?current=true&urile=wcm:path:/lasd+content/lasd+site/home/home+top+stories/sheriff+mcdonnell+introduces+unmanned+aircraft+system+for+deployment+during+rescue_+hazmat+and+disaster+response+operations","","sheriff.lacounty.gov","","","","","","","",""
"AOS1823","Los Angeles","Los Angeles County","CA","Los Angeles Police Department","Police","The Los Angeles Police Department operates four drones as of 2014, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","Draganfly Innovations, DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.latimes.com/opinion/op-ed/la-oe-newton-column-lapd-drones-20141117-column.html","","www.latimes.com","","","","","","","",""
"AOS1824","Los Banos","Merced County","CA","Los Banos Police Department","Police","The Los Banos Police Department operates two DJI drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.faa.gov/uas/request_waiver/waivers_granted/media/107W-2018-10394_Jason_Hedden_CoW.pdf","","www.faa.gov","","","http://abc30.com/small-law-enforcement-agencies-using-drones-to-tackle-crime/3226591/","","abc30.com","","",""
"AOS1825","Leesburg","Loudoun County","VA","Loudoun County Sheriff's Office","Sheriff","The Loudoun County Sheriff's Office operates one Lockheed Martin Indago drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","Lockheed Martin","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://loudounnow.com/2016/10/12/loudoun-sheriff-asks-for-drone-more-body-cameras/","","loudounnow.com","","","http://www.loudountribune.com/sheriffs-office-loudoun-schools-autism/","","www.loudountribune.com","","",""
"AOS1826","Farmerville","Union Parish","LA","Louisiana Department of Public Safety","State Police","The Louisiana Department of Public Safety operates one DJI Inspire drone as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.","State","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://wwwcfprd.doa.louisiana.gov/OSP/LaPAC/agency/pdf/7055401-00.pdf","","wwwcfprd.doa.louisiana.gov","","","","","","","",""
"AOS1827","Loveland","Larimer County","CO","Loveland Police Department","Police","The Loveland Police Department operates one Parrot AR Drone drone as of 2014, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","Parrot","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.reporterherald.com/news/loveland-local-news/ci_26155602/loveland-event-will-explore-uses-drones-video","","www.reporterherald.com","","","https://www.larimeruas.com/","","www.larimeruas.com","","",""
"AOS1828","Lower Makefield Township","Bucks County","PA","Lower Makefield Township Police Department","Police","The Lower Makefield Township Police Department operates one DJI Phantom drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.buckscountycouriertimes.com/c8c6d52e-5cf4-11e7-9a4e-3fc0e3233696.html","","www.buckscountycouriertimes.com","","","","","","","",""
"AOS1829","Lubbock","Lubbock County","TX","Lubbock Police Department","Police","The Lubbock Police Department operates one DJI Inspire drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.everythinglubbock.com/news/kamc-news/high-flying-crimefighter-lpd-puts-a-spin-on-investigating/602789191","","www.everythinglubbock.com","","","","","","","",""
"AOS1830","Mount Clemens","Macomb County","MI","Macomb County Sheriff's Office","Sheriff","The Macomb County Sheriff's Office operates four DJI drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.michiganradio.org/post/macomb-county-sheriff-launches-drone-unit","","www.michiganradio.org","","","https://www.youtube.com/watch?v=GbFB838ygfk","","www.youtube.com","","",""
"AOS1831","Edwardsville","Madison County","IL","Madison County Sheriff's Office","Sheriff","The Madison County Sheriff's Office operates two DJI drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.thetelegraph.com/news/article/Madison-County-s-eyes-in-the-sky-Sheriff-s-12573487.php","","www.thetelegraph.com","","","http://www.icjia.state.il.us/assets/pdf/drone/Drone_Report_2018.pdf","","www.icjia.state.il.us","","",""
"AOS1832","Madison","Dane County","WI","Madison Police Department","Police","The Madison Police Department operates one DJI Phantom drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://host.madison.com/ct/news/local/govt-and-politics/madison-police-department-launches-drone-team/article_284487e0-6b85-5b07-ab82-eac8cf6a5a45.html","","host.madison.com","","","","","","","",""
"AOS1833","Youngstown","Mahoning County","OH","Mahoning County Sheriff's Office","Sheriff","The Mahoning County Sheriff's Office operates one Yuneec Typhoon H drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","Yuneec","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://wytv.com/2017/09/02/mahoning-co-sheriffs-drone-to-be-used-in-howland-murder-case/","","wytv.com","","","","","","","",""
"AOS1834","Bangor","Penobscot County","ME","Maine State Police","State police","The Maine State Police Department operates four drones as of 2013, according to data compiled by the Center for the Study of the Drone at Bard College.","State","Drones","Parrot, DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.seattletimes.com/nation-world/maine-state-police-to-demonstrate-new-drones/","","www.seattletimes.com","","","https://www.faa.gov/uas/request_waiver/waivers_granted/media/107W-2017-05521_Bruce_Scott_CoW.pdf","","www.faa.gov","","",""
"AOS1835","Park Ridge","Cook County","IL","Major Case Assistance Team","Police","The Major Case Assistance Team operates two DJI drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College. MCAT is comprised of officers from more than a dozen agencies in the Chicago area.","Regional","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.icjia.state.il.us/assets/pdf/drone/Drone_Report_2018.pdf","","www.icjia.state.il.us","","","","","","","",""
"AOS1836","Bradenton","Manatee County","FL","Manatee County Sheriff's Office","Sheriff","The Manatee County Sheriff's Office operates five DJI drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.fox13news.com/news/local-news/drones-fine-lost-horseback-riders-trails-in-myakka-city","","www.fox13news.com","","","https://www.faa.gov/uas/commercial_operators/part_107_waivers/waivers_issued/media/107W-2018-17248_Cary_Chapman_CoW.pdf","","www.faa.gov","","",""
"AOS1837","Manchester","Hillsborough County","NH","Manchester Police Department","Police","The Manchester Police Department operates one DJI Mavic drone as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.unionleader.com/news/crime/new-manchester-police-eye-in-the-sky-completes-first-real/article_1843ab75-98c6-5550-ad89-62cff9b1bfc0.html","","www.unionleader.com","","","","","","","",""
"AOS1838","Manitowoc","Manitowoc County","WI","Manitowoc Police Department","Police","The Manitowoc Police Department operates one DJI Inspire drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.faa.gov/uas/request_waiver/waivers_granted/media/107W-2017-00149_Richard_Ladwig_CoW.pdf","","www.faa.gov","","","https://www.htrnews.com/story/news/2017/10/18/manitowoc-police-use-aerial-drone-photograph-car-crashes-crime-scenes/777199001/","","www.htrnews.com","","",""
"AOS1839","Mansfield","Tarrant County","TX","Mansfield Police Department","Police","The Mansfield Police Department operates two DJI drones as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://dfw.cbslocal.com/2017/02/15/mansfield-police-department-using-drones-to-fight-crime/","","dfw.cbslocal.com","","","","","","","",""
"AOS1840","Manteca","San Joaquin County","CA","Manteca Police Department","Police","The Manteca Police Department operates three DJI drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.mantecabulletin.com/news/local-news/q-public-manteca-pd-drones-saturday/","","www.mantecabulletin.com","","","https://www.facebook.com/LenaHowland/videos/294687964566768/","","www.facebook.com","","",""
"AOS1841","Wausau","Marathon County","WI","Marathon County Sheriff's Office","Sheriff","The Marathon County Sheriff's Office operates three DJI drones as of 2015, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://foxsportswausau.com/news/articles/2015/jul/22/sheriffs-department-demonstrates-drone-aircraft/","","foxsportswausau.com","","","","","","","",""
"AOS1842","Phoenix","Maricopa County","AZ","Maricopa County Sheriff's Office","Sheriff","The Maricopa County Sheriff's Office operates one drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.vice.com/en_us/article/5dzdeq/arizona-cops-use-drone-surveillance-to-arrest-protesters","","Vice","","07/01/2020","","","","","",""
"AOS1843","Maricopa","Pinal County","AZ","Maricopa Police Department","Police","The Maricopa Police Department operates one DJI Matrice 600 drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.faa.gov/uas/request_waiver/waivers_granted/media/107W-2017-02963_Luis_Martinez_CoW.pdf","","www.faa.gov","","","https://www.abc15.com/news/region-central-southern-az/maricopa/maricopa-police-utilizing-new-drone-to-assist-officers-in-the-field","","www.abc15.com","","",""
"AOS1844","San Rafael","Marin County","CA","Marin County Sheriff's Office","Sheriff","The Marin County Sheriff's Office operates five drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.ptreyeslight.com/article/sheriff-drone-program-takes","","www.ptreyeslight.com","","","","","","","",""
"AOS1845","Marion","Williamson County","IL","Marion Police Department","Police","The Marion Police Department operates one DJI Inspire drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.icjia.state.il.us/assets/pdf/drone/Drone_Report_2018.pdf","","www.icjia.state.il.us","","","","","","","",""
"AOS1846","Warren","Marshall County","MN","Marshall County Sheriff's Office","Sheriff","The Marshall County Sheriff's Office operates one DJI Inspire drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.grandforksherald.com/news/4123354-drone-be-used-marshall-county-sheriffs-office-search-and-rescue-other-tasks","","www.grandforksherald.com","","","","","","","",""
"AOS1847","Marshfield","Wood County","WI","Marshfield Police Department","Police","The Marshfield Police Department operates one drone as of 2020, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.onfocus.news/inspiring-community-effort-raises-10000-for-marshfield-police-department-drone/","","www.onfocus.news","","","","","","","",""
"AOS1848","Marysville","Yuba County","CA","Marysville Police Department","Police","The Marysville Police Department operates one drone as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://yubanet.com/regional/grant-helps-marysville-police-department-purchase-drones-to-aid-in-rescue-operations/","","yubanet.com","","","","","","","",""
"AOS1849","Maryville","Nodaway County","MO","Maryville Department of Public Safety","Police","The Maryville Department of Public Safety operates one MAXSUR Seeker drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","MAXSUR","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.maryvilledailyforum.com/business/article_0d2826e6-ff3f-11e6-9006-eb24124563f5.html","","www.maryvilledailyforum.com","","","","","","","",""
"AOS1850","Ludington","Mason County","MI","Mason County Sheriff's Office","Sheriff","The Mason County Sheriff's Office operates one drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","http://www.maysville-online.com/news/local/drone-technology-demonstrated-locally/article_bd52f43b-c9b9-5083-a1d6-56032d112f10.html","","www.maysville-online.com","","","","","","","",""
"AOS1851","Framingham","Middlesex County","MA","Massachusetts State Police","State police","The Massachusetts State Police Department operates five drones as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.","State","Drones","Aeryon Labs, DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","www.bostonherald.com/news/local_coverage/2016/12/to_help_investigate_highway_crashes_state_police_acquire_a_drone","","","","","","","","","",""
"AOS1852","Massillon","Stark County","OH","Massillon Police Department","Police","The Massillon Police Department operates two DJI drones as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.","Municipal","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.indeonline.com/news/20190617/massillon-council-oks-drone-purchases-for-police","","www.indeonline.com","","","","","","","",""
"AOS1853","Bay City","Matagorda County","TX","Matagorda County Sheriff's Office","Sheriff","The Matagorda County Sheriff's Office operates two DJI drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.","County","Drones","DJI","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.facebook.com/MatagordaCountySheriffsOffice/posts/2671312329651198?__xts__[0]=68.ARAZpFLdmyL8R-7S65ZgIl67wWeYAgK8ccub4TZHlu5NPRLXcrBE_nywfzTGOpNgpBcc6Ved0Mfn7zpYu1AFSYVjOe1HhOo01pTM1I8UvG5F-Sb9oa6Z2EJFECkUTZBQH7LT04MYSA1q0crnzyqTZBcTkVsCJinN05C3Q7e3WhntUeh59FSVt7dHoGfK0rxlvUAe4qKsm0jY1yutctx5ZoHpxq53y81ZQoHYXSKQxqVj7S7IfaCq_UlC2RHFYqaaxuhIq_QKD-lPn6luYaCcZBhGqYhM45pVCEaYGVODFOW7g0gqMG3u6mL_t7gPvC0f15jo_zvZ4PcGakQjxsVGoA&__tn__=-R","","www.facebook.com","","","","","","","",""
